Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Requires Shipping,Image Src,Image Alt Text,Status
chic-womens-square-dial-watch-with-chain-strap-mkz-675733,,,,,,,,,,,,,,,,,https://www.markaz.app/api/export/image/1936-133-675733-product-6.webp?src=https%3A%2F%2Fstatic.markaz.app%2Fpakistan%2Fproducts%2F1936-133-675733-product-6.webp,Chic Women's Square Dial Watch with Chain Strap,
black-leather-strap-analogue-watch-for-men-women-mkz-677872,Black Leather Strap Analogue Watch for Men Women,"<p>Looking for a watch that blends elegance with everyday practicality? This unisex watch is perfect for Pakistani professionals, students, and fashion lovers who want something stylish without breaking the bank. Its sleek black leather strap and minimalist round face make it ideal for both office wear and casual outings, while the lightweight design ensures all-day comfort.</p><p>Crafted with durable materials, this watch is built to withstand daily wear and tear. The textured leather strap adds a touch of sophistication while remaining soft against your skin. The 12-hour analog display is easy to read, even in bright sunlight or dim lighting. Whether you’re commuting, attending meetings, or enjoying a coffee break, this watch keeps you on time with effortless style.</p><p>- Imported quality for long-lasting performance</p><p>- Stylish black leather strap with textured finish</p><p>- Lightweight and comfortable for daily wear</p><p>- Classic round dial with clear 12-hour format</p><p>- Durable construction suitable for all seasons</p><p>- Best price in Pakistan for premium value</p><p>New Arrival. Perfect for weddings, offices, or any occasion where you want to look sharp without spending a fortune.</p><ul><li>Material: Leather</li><li>Pattern: Textured Strap</li><li>Gender: Unisex</li><li>Watch Case Shape: Round</li><li>Display Format: 12-Hour Format</li><li>Product Feature: Imported Quality, Value For Money, Lightweight Design, Comfortable Daily Wear</li><li>Width: Inches</li><li>Number Of Pieces: 1 Pc</li><li>Color: Black</li><li>Package Includes: 1 x Analogue Watch</li><li>Dial Diameter: 20 mm</li><li>Length: 12 Inches</li><li>Height: 0.3 Inches</li><li>Note: There might be slight color differences as a result of varying lighting and monitor effects.</li><li>Product Code: MZ1936200010RAWS</li></ul><p>Delivered across Pakistan with cash on delivery.</p><p><a href=""https://www.markaz.app/shop/product/black-leather-strap-analogue-watch-for-men-women/677872?ref=mkzx-d071d315-8f19-53d4-9d7d-9c3ca5a8fdb8"">View this product on Markaz</a></p>",,Analogue Watch,"Fashion Accessories, Men’s Watches",FALSE,Color,Black,MKZ-677872-677872001,0,,,continue,manual,1588,TRUE,https://www.markaz.app/api/export/image/1936-132-677872-product-1.webp?src=https%3A%2F%2Fstatic.markaz.app%2Fpakistan%2Fproducts%2F1936-132-677872-product-1.webp,Black Leather Strap Analogue Watch for Men Women,draft
black-leather-strap-analogue-watch-for-men-women-mkz-677872,,,,,,,,,,,,,,,,,https://www.markaz.app/api/export/image/1936-132-677872-product-2.webp?src=https%3A%2F%2Fstatic.markaz.app%2Fpakistan%2Fproducts%2F1936-132-677872-product-2.webp,Black Leather Strap Analogue Watch for Men Women,
black-leather-strap-analogue-watch-for-men-women-mkz-677872,,,,,,,,,,,,,,,,,https://www.markaz.app/api/export/image/1936-132-677872-product-1-withcode.webp?src=https%3A%2F%2Fstatic.markaz.app%2Fpakistan%2Fproducts%2F1936-132-677872-product-1-withcode.webp,Black Leather Strap Analogue Watch for Men Women,
mens-stainless-steel-watch-rose-gold-dial-24mm-mkz-688911,Men's Stainless Steel Watch Rose Gold Dial 24mm,"<p>Looking for a watch that blends elegance with everyday durability? This imported men’s watch is crafted for Pakistani men who demand style without compromise. Perfect for office wear, casual outings, or special occasions, its sleek silver and rose gold finish complements any outfit. Designed for local weather and daily use, it’s built to last with premium steel construction and a clear, easy-to-read dial.</p><p>The watch features a classic round case with a 24mm dial, offering a balanced look that suits all ages. Its chain strap design adds a touch of sophistication while remaining comfortable for long wear. The 12-hour analog display ensures clarity and simplicity, making it ideal for busy professionals or students. With imported quality and value for money, you’re getting a stylish accessory that won’t break the bank.</p><p>- Premium steel construction for long-lasting durability</p><p>- Stylish chain strap in silver or rose gold finish</p><p>- Clear 24mm dial for easy time reading</p><p>- Imported quality with value for money</p><p>- Perfect for all seasons and daily use</p><p>- New arrival with modern, classic design</p><ul><li>Material: Steel</li><li>Pattern: Chain Strap</li><li>Gender: Men's</li><li>Watch Case Shape: Round</li><li>Display Format: 12-Hour Format</li><li>Product Feature: Imported Quality, Value For Money, Clear Dial Display</li><li>Width: Inches</li><li>Number Of Pieces: 1 Pc</li><li>Color: Silver, Rose Gold</li><li>Package Includes: 1 x Analogue Watch</li><li>Dial Diameter: 24 mm</li><li>Length: 12 Inches</li><li>Height: .03 Cm</li><li>Note: There might be slight color differences as a result of varying lighting and monitor effects.</li><li>Product Code: MZ1936200022RAWS</li></ul><p>Delivered across Pakistan with cash on delivery.</p><p><a href=""https://www.markaz.app/shop/product/mens-stainless-steel-watch-rose-gold-dial-24mm/688911?ref=mkzx-d071d315-8f19-53d4-9d7d-9c3ca5a8fdb8"">View this product on Markaz</a></p>",,Chain Watch,"Fashion Accessories, Men’s Watches",FALSE,Color,Silver,MKZ-688911-688911001,0,,,continue,manual,2232,TRUE,https://www.markaz.app/api/export/image/1936-132-688911-product-1.webp?src=https%3A%2F%2Fstatic.markaz.app%2Fpakistan%2Fproducts%2F1936-132-688911-product-1.webp,Men's Stainless Steel Watch Rose Gold Dial 24mm,draft
mens-stainless-steel-watch-rose-gold-dial-24mm-mkz-688911,,,,,,,,,,,,,,,,,https://www.markaz.app/api/export/image/1936-132-688911-product-2.webp?src=https%3A%2F%2Fstatic.markaz.app%2Fpakistan%2Fproducts%2F1936-132-688911-product-2.webp,Men's Stainless Steel Watch Rose Gold Dial 24mm,
mens-stainless-steel-watch-rose-gold-dial-24mm-mkz-688911,,,,,,,,,,,,,,,,,https://www.markaz.app/api/export/image/1936-132-688911-product-3.webp?src=https%3A%2F%2Fstatic.markaz.app%2Fpakistan%2Fproducts%2F1936-132-688911-product-3.webp,Men's Stainless Steel Watch Rose Gold Dial 24mm,
mens-stainless-steel-watch-rose-gold-dial-24mm-mkz-688911,,,,,,,,,,,,,,,,,https://www.markaz.app/api/export/image/1936-132-688911-product-4.webp?src=https%3A%2F%2Fstatic.markaz.app%2Fpakistan%2Fproducts%2F1936-132-688911-product-4.webp,Men's Stainless Steel Watch Rose Gold Dial 24mm,
mens-stainless-steel-watch-rose-gold-dial-24mm-mkz-688911,,,,,,,,,,,,,,,,,https://www.markaz.app/api/export/image/1936-132-688911-product-5.webp?src=https%3A%2F%2Fstatic.markaz.app%2Fpakistan%2Fproducts%2F1936-132-688911-product-5.webp,Men's Stainless Steel Watch Rose Gold Dial 24mm,
mens-stainless-steel-watch-rose-gold-dial-24mm-mkz-688911,,,,,,,,,,,,,,,,,https://www.markaz.app/api/export/image/1936-132-688911-product-6.webp?src=https%3A%2F%2Fstatic.markaz.app%2Fpakistan%2Fproducts%2F1936-132-688911-product-6.webp,Men's Stainless Steel Watch Rose Gold Dial 24mm,
mens-stainless-steel-watch-rose-gold-dial-24mm-mkz-688911,,,,,,,,,,,,,,,,,https://www.markaz.app/api/export/image/1936-132-688911-product-7.webp?src=https%3A%2F%2Fstatic.markaz.app%2Fpakistan%2Fproducts%2F1936-132-688911-product-7.webp,Men's Stainless Steel Watch Rose Gold Dial 24mm,
mens-black-dial-leather-strap-watch-with-12-hour-display-mkz-686470,Men's Black Dial Leather Strap Watch with 12-Hour Display,"<p>Looking for a watch that blends style with smart value? This imported men’s watch is crafted for the modern Pakistani man who demands durability without sacrificing elegance. Perfect for daily wear, office meetings, or casual outings, its sleek black dial and tan leather strap offer timeless appeal. The lightweight design ensures all-day comfort, while the durable construction stands up to the rigors of everyday life.</p><p>This watch is built to last with a premium-quality palladium case and a comfortable, breathable leather strap that ages beautifully. The 12-hour analog display is easy to read, even in bright sunlight or dim lighting. Its long battery life means you won’t have to worry about frequent replacements. Whether you’re commuting, attending a family event, or simply enjoying a weekend stroll, this watch is your reliable companion.</p><p>- Imported Quality for superior craftsmanship</p><p>- Stylish black dial with bold white hands</p><p>- Durable tan leather strap with embossed logo</p><p>- Lightweight and comfortable for all-day wear</p><p>- Long battery life for hassle-free use</p><p>- New Arrival – best price in Pakistan</p><ul><li>Material: Palladium</li><li>Pattern: Plain Strap</li><li>Gender: Men's</li><li>Watch Case Shape: Round</li><li>Display Format: 12-Hour Format</li><li>Product Feature: Imported Quality, Value For Money, Comfort Fit Strap, Lightweight Design, Long Battery Life</li><li>Width: Inches</li><li>Number Of Pieces: 1 Pc</li><li>Color: Black</li><li>Package Includes: 1 x Analogue Watch</li><li>Dial Diameter: 20 mm</li><li>Length: 12 Inches</li><li>Height: .03 Inches</li><li>Note: There might be slight color differences as a result of varying lighting and monitor effects.</li><li>Product Code: MZ1936200017RAWS</li></ul><p>Delivered across Pakistan with cash on delivery.</p><p><a href=""https://www.markaz.app/shop/product/mens-black-dial-leather-strap-watch-with-12-hour-display/686470?ref=mkzx-d071d315-8f19-53d4-9d7d-9c3ca5a8fdb8"">View this product on Markaz</a></p>",,Analogue Watch,"Fashion Accessories, Men’s Watches",FALSE,Size,20 mm,MKZ-686470-686470001,0,,,continue,manual,1588,TRUE,https://www.markaz.app/api/export/image/1936-132-686470-product-1.webp?src=https%3A%2F%2Fstatic.markaz.app%2Fpakistan%2Fproducts%2F1936-132-686470-product-1.webp,Men's Black Dial Leather Strap Watch with 12-Hour Display,draft
mens-black-dial-leather-strap-watch-with-12-hour-display-mkz-686470,,,,,,,,,,,,,,,,,https://www.markaz.app/api/export/image/1936-132-686470-product-2.webp?src=https%3A%2F%2Fstatic.markaz.app%2Fpakistan%2Fproducts%2F1936-132-686470-product-2.webp,Men's Black Dial Leather Strap Watch with 12-Hour Display,
mens-black-dial-leather-strap-watch-with-12-hour-display-mkz-686470,,,,,,,,,,,,,,,,,https://www.markaz.app/api/export/image/1936-132-686470-product-1-withcode.webp?src=https%3A%2F%2Fstatic.markaz.app%2Fpakistan%2Fproducts%2F1936-132-686470-product-1-withcode.webp,Men's Black Dial Leather Strap Watch with 12-Hour Display,
mens-stainless-steel-chronograph-watch-black-dial-22mm-mkz-716688,Men's Stainless Steel Chronograph Watch Black Dial 22mm,"<p>This sleek men's watch is crafted for the modern Pakistani gentleman who values both style and function. Its durable stainless steel construction ensures it withstands daily wear and tear, while the elegant silver chain strap adds a touch of sophistication to any outfit. Perfect for office, casual outings, or formal events, this timepiece blends timeless design with contemporary appeal.</p><p>The watch features a robust black dial with bold white markers for easy time reading, even in low light. Its 22mm case diameter and 10-inch length make it comfortable for all-day wear without compromising on durability. The stainless steel bracelet is lightweight yet sturdy, offering a secure fit that resists scratches and tarnish. Designed for reliable time accuracy, this watch is built to last through the rigors of daily life.</p><p>- Premium Quality stainless steel construction for long-lasting durability</p><p>- Stylish silver chain strap that complements any outfit</p><p>- 12-hour analog display with clear white markers</p><p>- Lightweight and comfortable for daily wear</p><p>- Durable design suitable for both office and casual settings</p><p>- New Arrival with best price in Pakistan for exceptional value</p><ul><li>Material: Steel</li><li>Pattern: Chain Strap</li><li>Gender: Men's</li><li>Watch Case Shape: Round</li><li>Display Format: 12-Hour Format</li><li>Product Feature: Imported Quality, Reliable Time Accuracy, Comfortable Daily Wear</li><li>Width: Inches</li><li>Number Of Pieces: 1 Pc</li><li>Color: Silver</li><li>Package Includes: 1 x Analogue Watch</li><li>Dial Diameter: 22 mm</li><li>Length: 10 Inches</li><li>Height: 0.3 Inches</li><li>Note: There might be slight color differences as a result of varying lighting and monitor effects.</li><li>Product Code: MZ1936200040RAWS</li></ul><p>Delivered across Pakistan with cash on delivery.</p><p><a href=""https://www.markaz.app/shop/product/mens-stainless-steel-chronograph-watch-black-dial-22mm/716688?ref=mkzx-d071d315-8f19-53d4-9d7d-9c3ca5a8fdb8"">View this product on Markaz</a></p>",,Chain Watch,"Fashion Accessories, Men’s Watches",FALSE,Color,Silver,MKZ-716688-716688001,0,,,continue,manual,1992,TRUE,https://www.markaz.app/api/export/image/1936-132-716553-product-1.webp?src=https%3A%2F%2Fstatic.markaz.app%2Fpakistan%2Fproducts%2F1936-132-716553-product-1.webp,Men's Stainless Steel Chronograph Watch Black Dial 22mm,draft
mens-stainless-steel-chronograph-watch-black-dial-22mm-mkz-716688,,,,,,,,,,,,,,,,,https://www.markaz.app/api/export/image/4b074f8a-278c-4f74-af2a-f5b5d8fe252a.webp?src=https%3A%2F%2Fstatic.markaz.app%2Fpakistan%2Fproducts%2F4b074f8a-278c-4f74-af2a-f5b5d8fe252a.webp,Men's Stainless Steel Chronograph Watch Black Dial 22mm,
womens-rose-gold-crystal-watch-with-3-sub-dials-mkz-698185,Women's Rose Gold Crystal Watch with 3 Sub-Dials,"<p>This elegant women’s watch is the perfect blend of luxury and practicality, designed to match your vibrant Pakistani lifestyle. Its rose gold finish and sparkling crystal bezel make it ideal for weddings, office wear, or evening outings, while the lightweight brass construction ensures all-day comfort without compromising on durability. Whether you’re dressing for a formal event or a casual stroll, this watch adds a touch of sophistication to any ensemble.</p><p>Crafted with attention to detail, the watch features a chic round dial with a 12-hour format and three sub-dials for added functionality. The chain-style bracelet is both stylish and secure, offering a premium feel that complements your outfit. Its water-resistant design makes it suitable for daily use, including light rain or splashes. The slim profile and comfortable fit ensure it stays secure on your wrist, even during busy days.</p><p>- Premium Quality brass construction for long-lasting durability</p><p>- Stylish rose gold finish with sparkling crystal accents</p><p>- Lightweight and comfortable for all-day wear</p><p>- Elegant chain strap design that upgrades any outfit</p><p>- Water-resistant for everyday practicality</p><p>- New Arrival – best price in Pakistan for this chic design</p><ul><li>Material: Brass</li><li>Pattern: Chain Strap</li><li>Gender: Women's</li><li>Watch Case Shape: Round</li><li>Display Format: 12-Hour Format</li><li>Product Feature: Chic Everyday Design That Upgrades Any Outfit, Elegant Bracelet Strap For A Premium Feel, Lightweight And Comfortable For All Day Wear</li><li>Width: Inches</li><li>Number Of Pieces: 1 Pc</li><li>Color: Rose Gold</li><li>Package Includes: 1 x Analogue Watch</li><li>Dial Diameter: 20 mm</li><li>Length: 10 Inches</li><li>Height: .03 Inches</li><li>Pack Of Pack Of 999</li><li>Note: There might be slight color differences as a result of varying lighting and monitor effects.</li><li>Product Code: MZ1936200033RAWS</li></ul><p>Delivered across Pakistan with cash on delivery.</p><p><a href=""https://www.markaz.app/shop/product/womens-rose-gold-crystal-watch-with-3-sub-dials/698185?ref=mkzx-d071d315-8f19-53d4-9d7d-9c3ca5a8fdb8"">View this product on Markaz</a></p>",,Analogue Watch,"Fashion Accessories, Women's Watches",FALSE,Color,Rose Gold,MKZ-698185-698185001,0,,,continue,manual,1781,TRUE,https://www.markaz.app/api/export/image/1936-133-698185-product-1.webp?src=https%3A%2F%2Fstatic.markaz.app%2Fpakistan%2Fproducts%2F1936-133-698185-product-1.webp,Women's Rose Gold Crystal Watch with 3 Sub-Dials,draft
womens-rose-gold-crystal-watch-with-3-sub-dials-mkz-698185,,,,,,,,,,,,,,,,,https://www.markaz.app/api/export/image/1936-133-698185-product-1-withcode.webp?src=https%3A%2F%2Fstatic.markaz.app%2Fpakistan%2Fproducts%2F1936-133-698185-product-1-withcode.webp,Women's Rose Gold Crystal Watch with 3 Sub-Dials,
mens-stainless-steel-quartz-watch-24mm-multicolor-strap-mkz-717777,Men's Stainless Steel Quartz Watch 24mm Multicolor Strap,"<p>This sleek men's watch is crafted for the modern Pakistani gentleman who values both style and substance. Its durable steel chain strap ensures comfort all day long, while the round 24mm dial offers a sophisticated look perfect for office, casual outings, or formal events. Designed with premium quality materials, it’s built to withstand daily wear and tear without losing its elegant appeal.</p><p>The watch features a stylish black dial with gold-tone accents and a clear quartz movement for precise timekeeping. Its lightweight design and modern aesthetic make it ideal for those seeking a durable yet fashionable accessory. Whether you’re commuting, attending meetings, or enjoying a weekend brunch, this watch adds a touch of class to any outfit. The stainless steel construction ensures long-lasting performance and a polished finish that complements any ensemble.</p><p>- Premium Quality Stainless Steel Construction</p><p>- Stylish Black Dial with Gold-Tone Accents</p><p>- Comfortable Stainless Steel Chain Strap</p><p>- 24mm Round Dial for Modern Appeal</p><p>- Durable Design for Daily Wear</p><p>- New Arrival with Best Price in Pakistan</p><ul><li>Material: Steel</li><li>Pattern: Chain Strap</li><li>Gender: Men's</li><li>Watch Case Shape: Round</li><li>Display Format: 12-Hour Format</li><li>Product Feature: Imported Quality, Comfortable Daily Wear, Modern Stylish Look, Value For Money</li><li>Width: Inches</li><li>Number Of Pieces: 1 Pc</li><li>Color: Multicolor</li><li>Package Includes: 1 x Analogue Watch</li><li>Dial Diameter: 24 mm</li><li>Length: 10 Inches</li><li>Height: .03 Inches</li><li>Note: There might be slight color differences as a result of varying lighting and monitor effects.</li><li>Product Code: MZ1936200043RAWS</li></ul><p>Delivered across Pakistan with cash on delivery.</p><p><a href=""https://www.markaz.app/shop/product/mens-stainless-steel-quartz-watch-24mm-multicolor-strap/717777?ref=mkzx-d071d315-8f19-53d4-9d7d-9c3ca5a8fdb8"">View this product on Markaz</a></p>",,Chain Watch,"Fashion Accessories, Men’s Watches",FALSE,Color,Multicolor,MKZ-717777-717777001,0,,,continue,manual,3643,TRUE,https://www.markaz.app/api/export/image/1936-132-716689-product-2.webp?src=https%3A%2F%2Fstatic.markaz.app%2Fpakistan%2Fproducts%2F1936-132-716689-product-2.webp,Men's Stainless Steel Quartz Watch 24mm Multicolor Strap,draft
